index,com_id,post_name,post_id,comnum,time_since_original_post,comp_sent_score,pos_sent_score,neg_sent_score,neu_sent_score,comment_date_utime,Company,post_date_utime,image_set,video,Media_Types,Edges,Luminosity,Number_of_Colors,standardized_time_since_post,BK,Converse,Jordan,LG,McDonalds,Nike,Samsung,Sony,Subway,Text_Image,continuous_thematic_episodic_5,C_Thematic,C_Episodic,making_continuous,C_Number_of_Colors,C_Luminosity,C_Edges,C_cont_no_col,ind_id,weekend,com_weekend,am_pm_quant,utime_convert,post_time_day,post_time_bin,cumulative_comp_score,stand_cumsum,commenter_cumsum,commenter_stand_cumsum,comment_cumsum_sent,stand_comment_cumsum_sent,stand_edges,post_lag_comment,ind_lag_comment,stand_comnum,comnum,scaled_prior_ind_sentiment,abs_comp_sent_score,cont_frame
1,1,I_BK1,3,1,12923474,0,0,0,1,1548301879,Burger_King,1535378405,1,0,Text_Image,0.050901042,0.688335482,6,0.226115697,1,0,0,0,0,0,0,0,0,1,0,0.549263911,0.482797766,0.532200665,0.607134682,0.223864636,-0.00106563,0.419449232,19275,0,0,1,43339.29167,0.291724537,2,0,-0.385385429,0,-0.153417912,0,-0.385385429,-0.075129422,0,0,-0.627700072,0,-0.975144473,0,0.674432295
2,2,I_BK1,3,2,9624114,0,0,0,1,1545002519,Burger_King,1535378405,1,0,Text_Image,0.050901042,0.688335482,6,0.168388411,1,0,0,0,0,0,0,0,0,1,0,0.549263911,0.482797766,0.532200665,0.607134682,0.223864636,-0.00106563,0.419449232,78841,0,1,1,43339.29167,0.291724537,2,0,-0.385385429,0,-0.153417912,0,-0.385385429,-0.075129422,0,0,-0.625942653,1,-0.975144473,0,0.674432295
3,3,I_BK1,3,3,8138192,0,0,0,1,1543516597,Burger_King,1535378405,1,0,Text_Image,0.050901042,0.688335482,6,0.142389961,1,0,0,0,0,0,0,0,0,1,0,0.549263911,0.482797766,0.532200665,0.607134682,0.223864636,-0.00106563,0.419449232,4341,0,0,1,43339.29167,0.291724537,2,0,-0.385385429,0,-0.153417912,0,-0.385385429,-0.075129422,0,0,-0.624185235,2,-0.975144473,0,0.674432295
4,4,I_BK1,3,4,5922193,0,0,0,1,1541300598,Burger_King,1535378405,1,0,Text_Image,0.050901042,0.688335482,6,0.103617711,1,0,0,0,0,0,0,0,0,1,0,0.549263911,0.482797766,0.532200665,0.607134682,0.223864636,-0.00106563,0.419449232,25592,0,1,1,43339.29167,0.291724537,2,0,-0.385385429,0,-0.153417912,0,-0.385385429,-0.075129422,0,0,-0.622427817,3,-0.975144473,0,0.674432295
5,5,I_BK1,3,5,5037627,0.4019,0.474,0,0.526,1540416032,Burger_King,1535378405,1,0,Text_Image,0.050901042,0.688335482,6,0.088140893,1,0,0,0,0,0,0,0,0,1,0,0.549263911,0.482797766,0.532200665,0.607134682,0.223864636,-0.00106563,0.419449232,68577,0,0,1,43339.29167,0.291724537,2,0.4019,-0.377942839,0.4019,-0.151222633,0.4019,-0.377942839,-0.075129422,0,0,-0.620670399,4,-0.974782435,40.19,0.674432295
6,6,I_BK1,3,6,4822974,0.4404,0.244,0,0.756,1540201379,Burger_King,1535378405,1,0,Text_Image,0.050901042,0.688335482,6,0.084385215,1,0,0,0,0,0,0,0,0,1,0,0.549263911,0.482797766,0.532200665,0.607134682,0.223864636,-0.00106563,0.419449232,80725,0,0,1,43339.29167,0.291724537,2,0.8423,-0.369787285,0.4404,-0.151012336,0.8423,-0.369787285,-0.075129422,0.4019,0,-0.61891298,5,-0.974747754,44.04,0.674432295
7,7,I_BK1,3,7,4763044,0.7227,0.083,0.02,0.896,1540141449,Burger_King,1535378405,1,0,Text_Image,0.050901042,0.688335482,6,0.083336649,1,0,0,0,0,0,0,0,0,1,0,0.549263911,0.482797766,0.532200665,0.607134682,0.223864636,-0.00106563,0.419449232,39999,0,1,1,43339.29167,0.291724537,2,1.565,-0.356403956,0.7227,-0.149470343,1.565,-0.356403956,-0.075129422,0.4404,0,-0.617155562,6,-0.974493454,72.27,0.674432295
8,311,I_BK10,4,1,33138617,0.466,0.202,0,0.798,1562038818,Burger_King,1528900201,1,0,Text_Image,0.096792977,0.366799416,5,0.579810157,1,0,0,0,0,0,0,0,0,1,0.274665368,0.63397561,0.43815365,0.591323858,-0.392865318,-0.09767143,0.044826305,-0.082957846,90502,0,0,1,43264.3125,0.312511574,2,0.466,-0.376755802,0.466,-0.150872503,0.466,-0.376755802,1.162511368,0,0,-0.627700072,0,-0.974724693,46.6,0.295744991
9,312,I_BK10,4,2,33162029,0,0,0,1,1562062230,Burger_King,1528900201,1,0,Text_Image,0.096792977,0.366799416,5,0.580219786,1,0,0,0,0,0,0,0,0,1,0.274665368,0.63397561,0.43815365,0.591323858,-0.392865318,-0.09767143,0.044826305,-0.082957846,65458,0,0,1,43264.3125,0.312511574,2,0.466,-0.376755802,0,-0.153417912,0.466,-0.376755802,1.162511368,0.466,0,-0.625942653,1,-0.975144473,0,0.295744991
10,313,I_BK10,4,3,33162397,0,0,0,1,1562062598,Burger_King,1528900201,1,0,Text_Image,0.096792977,0.366799416,5,0.580226224,1,0,0,0,0,0,0,0,0,1,0.274665368,0.63397561,0.43815365,0.591323858,-0.392865318,-0.09767143,0.044826305,-0.082957846,90502,0,0,1,43264.3125,0.312511574,2,0.466,-0.376755802,0.466,-0.150872503,0.466,-0.376755802,1.162511368,0,0.466,-0.624185235,2,-0.974724693,0,0.295744991
11,314,I_BK10,4,4,33162479,0,0,0,1,1562062680,Burger_King,1528900201,1,0,Text_Image,0.096792977,0.366799416,5,0.580227659,1,0,0,0,0,0,0,0,0,1,0.274665368,0.63397561,0.43815365,0.591323858,-0.392865318,-0.09767143,0.044826305,-0.082957846,65458,0,0,1,43264.3125,0.312511574,2,0.466,-0.376755802,0,-0.153417912,0.466,-0.376755802,1.162511368,0,0,-0.622427817,3,-0.975144473,0,0.295744991
